Graph name,Graph adj. Mat., Regularität: , k-zusammenhangs Zahl: , Anzahl Knoten: , Anzahl Automorphismen: , Anzahl ColMat m. Färb.: , Anzahl Färbungen: ,List of possible colour incidence matrix in this and the following columns 
 [1 0 2 0]
 [0 1 0 2]
 [1 0 2 0]]"
Graph no. 5,"[[0. 1. 1. 1. 1. 0.]
 [1. 0. 1. 1. 0. 1.]
 [1. 1. 0. 0. 1. 1.]
 [1. 1. 0. 0. 1. 1.]
 [1. 0. 1. 1. 0. 1.]
 [0. 1. 1. 1. 1. 0.]]",4,4,6,48.0,7,71,"[[0 4]
 [2 2]]","[[2 2]
 [2 2]]","[[0 0 4]
 [0 0 4]
 [1 1 2]]","[[0 2 2]
 [2 0 2]
 [2 2 0]]","[[0 2 2]
 [2 1 1]
 [2 1 1]]","[[0 0 2 2]
 [0 0 2 2]
 [1 1 0 2]
 [1 1 2 0]]","[[0 0 2 2]
 [0 0 2 2]
 [1 1 1 1]
 [1 1 1 1]]"
Graph no. 6,"[[0. 1. 1. 1. 1. 1.]
 [1. 0. 1. 1. 1. 1.]
 [1. 1. 0. 1. 1. 1.]
 [1. 1. 1. 0. 1. 1.]
 [1. 1. 1. 1. 0. 1.]
 [1. 1. 1. 1. 1. 0.]]",5,5,6,720.0,8,521,"[[0 5]
 [1 4]]","[[1 4]
 [2 3]]","[[2 3]
 [3 2]]","[[0 1 4]
 [1 0 4]
 [1 1 3]]","[[0 2 3]
 [1 1 3]
 [1 2 2]]","[[1 2 2]
 [2 1 2]
 [2 2 1]]","[[0 1 1 3]
 [1 0 1 3]
 [1 1 0 3]
 [1 1 1 2]]","[[0 1 2 2]
 [1 0 2 2]
 [1 1 1 2]
 [1 1 2 1]]"
Graph no. 7,"[[0. 1. 1. 1. 1. 0. 0.]
 [1. 0. 1. 1. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1. 1.]
 [1. 1. 0. 0. 0. 1. 1.]
 [1. 1. 0. 0. 0. 1. 1.]
 [0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 1. 1. 1. 1. 0.]]",4,4,7,48.0,8,38,"[[0 4]
 [3 1]]","[[0 0 4]
 [0 0 4]
 [1 2 1]]","[[0 1 3]
 [1 0 3]
 [2 2 0]]","[[1 0 3]
 [0 1 3]
 [2 2 0]]","[[0 0 0 4]
 [0 0 0 4]
 [0 0 0 4]
 [1 1 1 1]]","[[0 0 2 2]
 [0 0 2 2]
 [1 2 0 1]
 [1 2 1 0]]","[[0 0 2 2]
 [0 0 2 2]
 [1 2 1 0]
 [1 2 0 1]]","[[0 1 0 3]
 [1 0 0 3]
 [0 0 1 3]
 [1 1 2 0]]"
Graph no. 8,"[[0. 1. 1. 1. 1. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0.]
 [1. 1. 0. 0. 1. 0. 1.]
 [1. 1. 0. 0. 0. 1. 1.]
 [1. 0. 1. 0. 0. 1. 1.]
 [0. 1. 0. 1. 1. 0. 1.]
 [0. 0. 1. 1. 1. 1. 0.]]",4,4,7,14.0,1,7,"[[0 0 2 2]
 [0 1 1 2]
 [1 1 1 1]
 [1 2 1 0]]"
Graph no. 9,"[[0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 0. 0. 0.]
 [1. 1. 0. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 0. 1. 0. 0.]
 [0. 0. 1. 0. 0. 0. 1. 1.]
 [0. 0. 0. 1. 0. 0. 1. 1.]
 [0. 0. 0. 0. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 0.]]",3,2,8,16.0,7,98,"[[0 3]
 [1 2]]","[[1 2]
 [2 1]]","[[0 1 2]
 [1 0 2]
 [1 1 1]]","[[1 0 2]
 [0 1 2]
 [1 1 1]]","[[0 0 1 2]
 [0 1 2 0]
 [1 2 0 0]
 [2 0 0 1]]","[[0 1 1 1]
 [1 0 1 1]
 [1 1 0 1]
 [1 1 1 0]]","[[0 1 1 1]
 [1 0 1 1]
 [1 1 1 0]
 [1 1 0 1]]"
Graph no. 10,"[[0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 0. 1. 0. 0.]
 [1. 0. 0. 0. 1. 0. 1. 0.]
 [0. 1. 0. 1. 0. 0. 0. 1.]
 [0. 0. 1. 0. 0. 0. 1. 1.]
 [0. 0. 0. 1. 0. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 0.]]",3,3,8,4.0,5,12,"[[0 3]
 [1 2]]","[[1 2]
 [2 1]]","[[0 1 2]
 [1 0 2]
 [1 1 1]]","[[1 0 2]
 [0 1 2]
 [1 1 1]]","[[0 1 1 1]
 [1 0 1 1]
 [1 1 1 0]
 [1 1 0 1]]"
Graph no. 11,"[[0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 0. 1. 0. 0.]
 [1. 0. 0. 0. 0. 0. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 1.]
 [0. 0. 1. 0. 0. 0. 1. 1.]
 [0. 0. 0. 1. 1. 1. 0. 0.]
 [0. 0. 0. 1. 1. 1. 0. 0.]]",3,3,8,12.0,2,3,"[[0 0 3]
 [0 2 1]
 [2 1 0]]","[[0 0 0 3]
 [0 0 0 3]
 [0 0 2 1]
 [1 1 1 0]]"
Graph no. 12,"[[0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 1. 0. 0.]
 [1. 0. 0. 0. 1. 0. 1. 0.]
 [1. 0. 0. 0. 0. 1. 1. 0.]
 [0. 1. 1. 0. 0. 0. 0. 1.]
 [0. 1. 0. 1. 0. 0. 0. 1.]
 [0. 0. 1. 1. 0. 0. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 0.]]",3,3,8,48.0,11,134,"[[0 3]
 [1 2]]","[[0 3]
 [3 0]]","[[1 2]
 [2 1]]","[[2 1]
 [1 2]]","[[0 1 2]
 [1 0 2]
 [1 1 1]]","[[1 0 2]
 [0 1 2]
 [1 1 1]]","[[0 0 0 3]
 [0 0 3 0]
 [0 1 0 2]
 [1 0 2 0]]","[[0 0 1 2]
 [0 0 2 1]
 [1 2 0 0]
 [2 1 0 0]]","[[0 1 1 1]
 [1 0 1 1]
 [1 1 0 1]
 [1 1 1 0]]","[[0 1 1 1]
 [1 0 1 1]
 [1 1 1 0]
 [1 1 0 1]]","[[1 0 1 1]
 [0 1 1 1]
 [1 1 1 0]
 [1 1 0 1]]"
Graph no. 13,"[[0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 1. 0. 0.]
 [1. 0. 0. 0. 1. 0. 1. 0.]
 [1. 0. 0. 0. 0. 1. 0. 1.]
 [0. 1. 1. 0. 0. 0. 0. 1.]
 [0. 1. 0. 1. 0. 0. 1. 0.]
 [0. 0. 1. 0. 0. 1. 0. 1.]
 [0. 0. 0. 1. 1. 0. 1. 0.]]",3,3,8,16.0,5,26,"[[1 2]
 [2 1]]","[[2 1]
 [1 2]]","[[1 0 2]
 [0 1 2]
 [1 1 1]]","[[0 0 1 2]
 [0 1 1 1]
 [1 1 1 0]
 [2 1 0 0]]","[[1 0 1 1]
 [0 1 1 1]
 [1 1 1 0]
 [1 1 0 1]]"
Graph no. 14,"[[0. 1. 1. 1. 1. 0. 0. 0.]
 [1. 0. 1. 1. 1. 0. 0. 0.]
 [1. 1. 0. 0. 0. 1. 1. 0.]
 [1. 1. 0. 0. 0. 1. 0. 1.]
 [1. 1. 0. 0. 0. 0. 1. 1.]
 [0. 0. 1. 1. 0. 0. 1. 1.]
 [0. 0. 1. 0. 1. 1. 0. 1.]
 [0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,8,12.0,2,3,"[[1 0 3]
 [0 2 2]
 [2 2 0]]","[[0 1 0 3]
 [1 0 0 3]
 [0 0 2 2]
 [1 1 2 0]]"
Graph no. 15,"[[0. 1. 1. 1. 1. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0.]
 [1. 1. 0. 1. 0. 0. 1. 0.]
 [1. 1. 1. 0. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 1. 1. 1.]
 [0. 1. 0. 0. 1. 0. 1. 1.]
 [0. 0. 1. 0. 1. 1. 0. 1.]
 [0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,8,48.0,11,134,"[[1 3]
 [1 3]]","[[1 3]
 [3 1]]","[[2 2]
 [2 2]]","[[3 1]
 [1 3]]","[[0 2 2]
 [2 0 2]
 [1 1 2]]","[[1 1 2]
 [1 1 2]
 [1 1 2]]","[[0 1 0 3]
 [1 0 3 0]
 [0 1 2 1]
 [1 0 1 2]]","[[0 1 1 2]
 [1 0 2 1]
 [1 2 0 1]
 [2 1 1 0]]","[[0 1 1 2]
 [1 1 1 1]
 [1 1 1 1]
 [2 1 1 0]]","[[1 0 1 2]
 [0 1 2 1]
 [1 2 1 0]
 [2 1 0 1]]","[[1 1 1 1]
 [1 1 1 1]
 [1 1 1 1]
 [1 1 1 1]]"
Graph no. 16,"[[0. 1. 1. 1. 1. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 1. 0. 1. 0.]
 [1. 1. 0. 0. 0. 1. 0. 1.]
 [1. 0. 1. 0. 0. 0. 1. 1.]
 [0. 1. 0. 1. 0. 0. 1. 1.]
 [0. 0. 1. 0. 1. 1. 0. 1.]
 [0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,8,16.0,5,26,"[[1 3]
 [3 1]]","[[2 2]
 [2 2]]","[[0 2 2]
 [2 0 2]
 [1 1 2]]","[[0 1 1 2]
 [1 0 2 1]
 [1 2 0 1]
 [2 1 1 0]]","[[0 1 1 2]
 [1 0 2 1]
 [1 2 1 0]
 [2 1 0 1]]"
Graph no. 17,"[[0. 1. 1. 1. 1. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 1. 0. 1. 0.]
 [1. 1. 0. 0. 0. 0. 1. 1.]
 [1. 0. 1. 0. 0. 1. 0. 1.]
 [0. 1. 0. 0. 1. 0. 1. 1.]
 [0. 0. 1. 1. 0. 1. 0. 1.]
 [0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,8,4.0,5,12,"[[1 3]
 [1 3]]","[[2 2]
 [2 2]]","[[0 2 2]
 [2 0 2]
 [1 1 2]]","[[1 1 2]
 [1 1 2]
 [1 1 2]]","[[0 1 1 2]
 [1 1 1 1]
 [1 1 1 1]
 [2 1 1 0]]"
Graph no. 18,"[[0. 1. 1. 1. 1. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 0. 1. 1.]
 [1. 1. 0. 0. 0. 0. 1. 1.]
 [1. 0. 0. 0. 0. 1. 1. 1.]
 [0. 1. 0. 0. 1. 0. 1. 1.]
 [0. 0. 1. 1. 1. 1. 0. 0.]
 [0. 0. 1. 1. 1. 1. 0. 0.]]",4,4,8,16.0,7,98,"[[1 3]
 [1 3]]","[[2 2]
 [2 2]]","[[0 2 2]
 [2 0 2]
 [1 1 2]]","[[1 1 2]
 [1 1 2]
 [1 1 2]]","[[0 0 2 2]
 [0 1 1 2]
 [2 1 1 0]
 [2 2 0 0]]","[[0 1 1 2]
 [1 1 1 1]
 [1 1 1 1]
 [2 1 1 0]]","[[1 1 1 1]
 [1 1 1 1]
 [1 1 1 1]
 [1 1 1 1]]"
Graph no. 19,"[[0. 1. 1. 1. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 1. 1. 1.]
 [1. 0. 0. 0. 0. 1. 1. 1.]
 [1. 0. 0. 0. 0. 1. 1. 1.]
 [1. 0. 0. 0. 0. 1. 1. 1.]
 [0. 1. 1. 1. 1. 0. 0. 0.]
 [0. 1. 1. 1. 1. 0. 0. 0.]
 [0. 1. 1. 1. 1. 0. 0. 0.]]",4,4,8,1152.0,11,970,"[[0 4]
 [4 0]]","[[1 3]
 [1 3]]","[[2 2]
 [2 2]]","[[0 0 4]
 [0 0 4]
 [1 3 0]]","[[0 0 4]
 [0 0 4]
 [2 2 0]]","[[1 1 2]
 [1 1 2]
 [1 1 2]]","[[0 0 0 4]
 [0 0 0 4]
 [0 0 0 4]
 [1 1 2 0]]","[[0 0 2 2]
 [0 0 2 2]
 [2 2 0 0]
 [2 2 0 0]]","[[0 1 0 3]
 [1 0 3 0]
 [0 1 0 3]
 [1 0 3 0]]","[[0 2 2 0]
 [1 0 0 3]
 [1 0 0 3]
 [0 2 2 0]]","[[1 1 1 1]
 [1 1 1 1]
 [1 1 1 1]
 [1 1 1 1]]"
Graph no. 20,"[[0. 1. 1. 1. 1. 1. 0. 0.]
 [1. 0. 1. 1. 1. 1. 0. 0.]
 [1. 1. 0. 1. 0. 0. 1. 1.]
 [1. 1. 1. 0. 0. 0. 1. 1.]
 [1. 1. 0. 0. 0. 1. 1. 1.]
 [1. 1. 0. 0. 1. 0. 1. 1.]
 [0. 0. 1. 1. 1. 1. 0. 1.]
 [0. 0. 1. 1. 1. 1. 1. 0.]]",5,5,8,128.0,11,178,"[[1 4]
 [4 1]]","[[2 3]
 [3 2]]","[[3 2]
 [2 3]]","[[0 1 4]
 [1 0 4]
 [2 2 1]]","[[1 0 4]
 [0 1 4]
 [2 2 1]]","[[1 2 2]
 [2 1 2]
 [1 1 3]]","[[0 1 0 4]
 [1 0 0 4]
 [0 0 1 4]
 [1 1 2 1]]","[[0 1 2 2]
 [1 0 2 2]
 [2 2 0 1]
 [2 2 1 0]]","[[0 1 2 2]
 [1 0 2 2]
 [2 2 1 0]
 [2 2 0 1]]","[[1 0 2 2]
 [0 1 2 2]
 [2 2 1 0]
 [2 2 0 1]]","[[1 1 1 2]
 [1 1 2 1]
 [1 2 1 1]
 [2 1 1 1]]"
Graph no. 21,"[[0. 1. 1. 1. 1. 1. 0. 0.]
 [1. 0. 1. 1. 1. 0. 1. 0.]
 [1. 1. 0. 1. 0. 1. 0. 1.]
 [1. 1. 1. 0. 0. 0. 1. 1.]
 [1. 1. 0. 0. 0. 1. 1. 1.]
 [1. 0. 1. 0. 1. 0. 1. 1.]
 [0. 1. 0. 1. 1. 1. 0. 1.]
 [0. 0. 1. 1. 1. 1. 1. 0.]]",5,5,8,16.0,5,26,"[[2 3]
 [3 2]]","[[3 2]
 [2 3]]","[[1 2 2]
 [2 1 2]
 [1 1 3]]","[[0 1 2 2]
 [1 1 1 2]
 [2 1 1 1]
 [2 2 1 0]]","[[1 1 1 2]
 [1 1 2 1]
 [1 2 1 1]
 [2 1 1 1]]"
Graph no. 22,"[[0. 1. 1. 1. 1. 1. 0. 0.]
 [1. 0. 1. 1. 1. 0. 1. 0.]
 [1. 1. 0. 0. 0. 1. 1. 1.]
 [1. 1. 0. 0. 0. 1. 1. 1.]
 [1. 1. 0. 0. 0. 1. 1. 1.]
 [1. 0. 1. 1. 1. 0. 0. 1.]
 [0. 1. 1. 1. 1. 0. 0. 1.]
 [0. 0. 1. 1. 1. 1. 1. 0.]]",5,5,8,60.0,4,15,"[[0 5]
 [3 2]]","[[0 0 5]
 [0 0 5]
 [1 2 2]]","[[0 0 0 5]
 [0 0 0 5]
 [0 0 0 5]
 [1 1 1 2]]","[[0 0 2 3]
 [0 1 1 3]
 [1 1 0 3]
 [1 2 2 0]]"
Graph no. 23,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 1. 0. 1. 0. 1. 0. 0. 0.]
 [1. 1. 1. 0. 0. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 0. 0. 1. 1.]
 [0. 0. 1. 0. 0. 0. 1. 1. 1.]
 [0. 0. 0. 1. 0. 1. 0. 1. 1.]
 [0. 0. 0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,9,16.0,5,11,"[[0 4]
 [2 2]]","[[0 0 4]
 [0 2 2]
 [1 2 1]]","[[0 0 0 4]
 [0 0 2 2]
 [0 2 0 2]
 [1 1 1 1]]","[[0 0 0 4]
 [0 1 1 2]
 [0 1 1 2]
 [1 1 1 1]]","[[0 2 2 0]
 [1 0 1 2]
 [1 1 0 2]
 [0 1 1 2]]"
Graph no. 24,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 1. 0. 0. 0. 1. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1. 1. 0. 0.]
 [1. 1. 0. 0. 0. 0. 0. 1. 1.]
 [0. 0. 1. 1. 0. 0. 0. 1. 1.]
 [0. 0. 1. 1. 0. 0. 0. 1. 1.]
 [0. 0. 0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,9,32.0,3,9,"[[0 0 4]
 [0 2 2]
 [1 2 1]]","[[0 0 0 4]
 [0 1 1 2]
 [0 1 1 2]
 [1 1 1 1]]","[[0 2 2 0]
 [1 0 1 2]
 [1 1 0 2]
 [0 1 1 2]]"
Graph no. 25,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 1. 0. 0. 0. 0.]
 [1. 1. 0. 0. 0. 1. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1. 0. 1. 0.]
 [1. 1. 0. 0. 0. 0. 1. 0. 1.]
 [0. 0. 1. 1. 0. 0. 0. 1. 1.]
 [0. 0. 1. 0. 1. 0. 0. 1. 1.]
 [0. 0. 0. 1. 0. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,9,4.0,0,0
Graph no. 26,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 1. 0. 0. 1. 0. 0.]
 [1. 1. 1. 0. 0. 0. 0. 1. 0.]
 [1. 0. 0. 0. 0. 1. 1. 0. 1.]
 [0. 1. 0. 0. 1. 0. 0. 1. 1.]
 [0. 0. 1. 0. 1. 0. 0. 1. 1.]
 [0. 0. 0. 1. 0. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,9,8.0,1,1,"[[0 0 4]
 [0 3 1]
 [1 1 2]]"
Graph no. 27,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 1. 0. 0. 0.]
 [1. 1. 0. 0. 0. 0. 1. 1. 0.]
 [1. 0. 1. 0. 0. 0. 1. 0. 1.]
 [0. 1. 1. 0. 0. 0. 0. 1. 1.]
 [0. 0. 0. 1. 1. 0. 0. 1. 1.]
 [0. 0. 0. 1. 0. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,9,12.0,6,27,"[[0 4]
 [2 2]]","[[0 0 4]
 [0 2 2]
 [1 2 1]]","[[0 2 2]
 [2 0 2]
 [2 2 0]]","[[0 2 2]
 [2 2 0]
 [2 0 2]]","[[0 0 0 4]
 [0 0 2 2]
 [0 2 0 2]
 [1 1 1 1]]","[[0 2 2 0]
 [1 0 1 2]
 [1 1 0 2]
 [0 1 1 2]]"
Graph no. 28,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1. 0. 1. 0.]
 [1. 0. 1. 0. 0. 0. 1. 0. 1.]
 [0. 1. 0. 1. 0. 0. 0. 1. 1.]
 [0. 0. 1. 0. 1. 0. 0. 1. 1.]
 [0. 0. 0. 1. 0. 1. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,9,18.0,2,9,"[[0 4]
 [2 2]]","[[0 2 2]
 [2 0 2]
 [2 2 0]]"
Graph no. 29,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1. 0. 1. 0.]
 [1. 0. 1. 0. 0. 0. 0. 1. 1.]
 [0. 1. 0. 1. 0. 0. 1. 0. 1.]
 [0. 0. 1. 0. 0. 1. 0. 1. 1.]
 [0. 0. 0. 1. 1. 0. 1. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,9,2.0,1,1,"[[0 4]
 [2 2]]"
Graph no. 30,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 0. 1. 1. 0.]
 [1. 0. 1. 0. 0. 0. 0. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 1. 1.]
 [0. 0. 1. 1. 0. 1. 0. 0. 1.]
 [0. 0. 0. 1. 1. 1. 0. 0. 1.]
 [0. 0. 0. 0. 1. 1. 1. 1. 0.]]",4,4,9,2.0,3,5,"[[0 0 4]
 [0 2 2]
 [1 2 1]]","[[0 0 0 4]
 [0 1 1 2]
 [0 1 1 2]
 [1 1 1 1]]","[[0 2 2 0]
 [1 0 1 2]
 [1 1 0 2]
 [0 1 1 2]]"
Graph no. 31,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 0. 0. 1. 1.]
 [1. 0. 1. 0. 0. 0. 0. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 1. 1.]
 [0. 0. 1. 0. 0. 1. 0. 1. 1.]
 [0. 0. 0. 1. 1. 1. 1. 0. 0.]
 [0. 0. 0. 1. 1. 1. 1. 0. 0.]]",4,4,9,4.0,0,0
Graph no. 32,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 0. 0. 1. 1. 0.]
 [1. 1. 0. 0. 0. 0. 1. 0. 1.]
 [1. 0. 0. 0. 0. 1. 1. 1. 0.]
 [0. 1. 0. 0. 1. 0. 0. 1. 1.]
 [0. 0. 1. 1. 1. 0. 0. 0. 1.]
 [0. 0. 1. 0. 1. 1. 0. 0. 1.]
 [0. 0. 0. 1. 0. 1. 1. 1. 0.]]",4,4,9,2.0,1,1,"[[2 2]
 [1 3]]"
Graph no. 33,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 0. 0. 1. 1. 0.]
 [1. 1. 0. 0. 0. 0. 1. 0. 1.]
 [1. 0. 0. 0. 0. 1. 0. 1. 1.]
 [0. 1. 0. 0. 1. 0. 0. 1. 1.]
 [0. 0. 1. 1. 0. 0. 0. 1. 1.]
 [0. 0. 1. 0. 1. 1. 1. 0. 0.]
 [0. 0. 0. 1. 1. 1. 1. 0. 0.]]",4,4,9,8.0,7,13,"[[0 4]
 [2 2]]","[[2 2]
 [1 3]]","[[0 0 4]
 [0 2 2]
 [1 2 1]]","[[0 0 0 4]
 [0 0 2 2]
 [0 2 0 2]
 [1 1 1 1]]","[[0 0 0 4]
 [0 1 1 2]
 [0 1 1 2]
 [1 1 1 1]]","[[0 2 2 0]
 [1 0 1 2]
 [1 1 0 2]
 [0 1 1 2]]","[[0 2 2 0]
 [1 1 0 2]
 [1 0 1 2]
 [0 1 1 2]]"
Graph no. 34,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 1. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 0. 0. 1. 1. 0.]
 [1. 1. 0. 0. 0. 0. 1. 0. 1.]
 [1. 0. 0. 0. 0. 0. 1. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 1. 1.]
 [0. 0. 1. 1. 1. 1. 0. 0. 0.]
 [0. 0. 1. 0. 1. 1. 0. 0. 1.]
 [0. 0. 0. 1. 1. 1. 0. 1. 0.]]",4,4,9,8.0,1,1,"[[0 0 4]
 [0 1 3]
 [1 3 0]]"
Graph no. 35,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 1. 0. 0.]
 [1. 1. 0. 0. 0. 0. 0. 1. 1.]
 [1. 0. 0. 0. 1. 1. 1. 0. 0.]
 [1. 0. 0. 1. 0. 0. 0. 1. 1.]
 [0. 1. 0. 1. 0. 0. 0. 1. 1.]
 [0. 1. 0. 1. 0. 0. 0. 1. 1.]
 [0. 0. 1. 0. 1. 1. 1. 0. 0.]
 [0. 0. 1. 0. 1. 1. 1. 0. 0.]]",4,4,9,16.0,5,11,"[[2 2]
 [1 3]]","[[0 0 4]
 [0 2 2]
 [1 2 1]]","[[0 0 0 4]
 [0 1 1 2]
 [0 1 1 2]
 [1 1 1 1]]","[[0 2 2 0]
 [1 0 1 2]
 [1 1 0 2]
 [0 1 1 2]]","[[0 2 2 0]
 [1 1 0 2]
 [1 0 1 2]
 [0 1 1 2]]"
Graph no. 36,"[[0. 1. 1. 1. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 1. 0. 0.]
